REP,DESIGN,OFV,KA,CL,V,ADD,PROP,OM_KA,OM_CL,OM_V,TERM
76,rich,-449.428953762589,1.13069,3.72272,50.5355,0.0808515,0.104281,0.152033,0.0649128,0.033157,SUCCESS
77,rich,-460.946999764701,1.04853,3.99078,52.3126,0.0646918,0.117011,0.108817,0.121852,0.0258652,SUCCESS
78,rich,-409.719344011611,1.21121,4.01813,49.0507,0.0460119,0.134816,0.222945,0.110105,0.0320529,SUCCESS
79,rich,-486.576256692429,1.33899,4.29439,53.1494,0.0498107,0.105859,0.285942,0.073775,0.0369591,SUCCESS
80,rich,-480.233804438629,1.28725,4.80874,53.4127,0.0506954,0.119075,0.150171,0.0797195,0.0467516,SUCCESS
81,rich,-445.757523617943,1.19289,4.32288,51.1793,0.0341128,0.133762,0.180732,0.0983792,0.0380337,SUCCESS
82,rich,-457.930988601122,1.12421,3.94343,49.838,0.0322896,0.127226,0.108474,0.0776611,0.0441854,SUCCESS
83,rich,-459.950648317329,1.12897,4.16446,50.8944,0.0565276,0.131503,0.0790302,0.0764743,0.0222299,SUCCESS
84,rich,-452.074852774859,1.29402,4.05275,49.6751,0.063228,0.108118,0.198777,0.0678691,0.036553,SUCCESS
85,rich,-469.531124723419,1.33514,4.41944,51.8795,0.0535256,0.119723,0.205565,0.0514848,0.0372667,SUCCESS
